"","pid","hid","sex","mastat","age","qfachi","lknbrd","paygu","region","wave","N","pay_lag","paych"
"154",10103066,2008661,2,1,35,2,1,NA,1,2,2,NA,NA
"155",10110879,1009257,2,1,48,7,1,NA,1,1,2,NA,NA
"156",10110879,2009099,2,1,49,7,2,NA,1,2,2,NA,NA
"157",10110909,1009257,1,1,45,7,NA,NA,1,1,2,NA,NA
"158",10110909,2009099,1,1,46,7,1,NA,1,2,2,NA,NA
"159",10110933,1009257,2,6,16,7,1,NA,1,1,2,NA,NA
"160",10110933,2009099,2,6,17,5,1,78,1,2,2,NA,NA
"161",10111999,1009346,2,3,49,5,1,559,1,1,2,NA,NA
"162",10111999,2009374,2,3,50,5,1,559,1,2,2,559,0
"163",10112022,1009346,1,6,21,4,1,NA,1,1,2,NA,NA
"164",10112022,2009374,1,6,22,2,2,NA,1,2,2,NA,NA
"165",10114238,1009532,1,1,75,7,1,NA,1,1,2,NA,NA
"166",10114238,2009668,1,1,76,7,1,NA,1,2,2,NA,NA
"167",10114262,1009532,2,1,71,7,2,NA,1,1,2,NA,NA
"168",10114262,2009668,2,1,72,7,2,NA,1,2,2,NA,NA
"169",10116508,1009729,1,6,22,4,1,156,1,1,2,NA,NA
"170",10116508,2010119,1,6,23,4,1,130.100082397461,1,2,2,156,-25.8999176025391
"171",10117598,1009818,2,6,25,6,1,NA,1,1,2,NA,NA
"172",10117598,2010321,2,6,26,6,1,NA,1,2,2,NA,NA
"173",10118713,1009907,2,3,74,7,1,NA,1,1,2,NA,NA
"174",10118713,2010534,2,3,75,7,1,NA,1,2,2,NA,NA
"175",10119833,1010018,1,1,63,7,1,780,1,1,2,NA,NA
"176",10119833,2010607,1,1,64,7,2,801.666687011719,1,2,2,780,21.6666870117188
"177",10119868,1010018,2,1,63,7,2,NA,1,1,2,NA,NA
"178",10119868,2010607,2,1,64,7,2,NA,1,2,2,NA,NA
"179",10122079,1010204,2,1,32,4,1,NA,1,1,2,NA,NA
"180",10122079,2010747,2,1,33,4,1,NA,2,2,2,NA,NA
"181",10122109,1010204,1,1,32,2,1,4670.5927734375,1,1,2,NA,NA
"182",10122109,2010747,1,1,32,2,1,4586.5283203125,2,2,2,4670.5927734375,-84.064453125
"183",10124306,1010387,1,1,82,1,2,NA,1,1,2,NA,NA
"184",10124306,2011034,1,1,83,NA,NA,NA,1,2,2,NA,NA
"185",10124349,1010387,2,1,76,7,2,NA,1,1,2,NA,NA
"186",10124349,2011034,2,1,77,7,2,NA,1,2,2,NA,NA
"187",10125426,1010476,1,1,75,7,1,NA,1,1,2,NA,NA
"188",10125426,2011174,1,1,76,7,1,NA,1,2,2,NA,NA
"189",10125469,1010476,2,1,74,7,1,NA,1,1,2,NA,NA
"190",10125469,2011174,2,1,75,7,1,NA,1,2,2,NA,NA
"191",10127666,1010662,2,1,45,5,1,1501.15478515625,1,1,2,NA,NA
"192",10127666,2011328,2,1,46,5,1,1651.27026367188,1,2,2,1501.15478515625,150.115478515625
"193",10127704,1010662,1,1,41,7,1,NA,1,1,2,NA,NA
"194",10127704,2011328,1,1,42,7,1,NA,1,2,2,NA,NA
"195",10127739,1010662,2,6,20,6,1,229.66667175293,1,1,2,NA,NA
"196",10127739,2011395,2,6,21,6,1,238.33332824707,4,2,2,229.66667175293,8.66665649414062
"197",10128786,1010751,1,1,56,7,1,NA,1,1,2,NA,NA
"198",10128786,2011689,1,1,57,7,1,NA,1,2,2,NA,NA
"199",10128816,1010751,2,1,51,5,1,NA,1,1,2,NA,NA
"200",10128816,2011689,2,1,52,5,1,NA,1,2,2,NA,NA
"201",10129901,1010859,2,6,29,2,1,1000.76983642578,1,1,2,NA,NA
"202",10129901,2011964,2,6,30,2,1,800.615844726562,1,2,2,1000.76983642578,-200.153991699219
"203",10129936,1010859,2,6,28,4,1,1891.626953125,1,1,2,NA,NA
"204",10129936,2011964,2,6,28,4,1,2101.61669921875,1,2,2,1891.626953125,209.98974609375
"205",10129979,1010859,2,6,27,2,1,2001.53967285156,1,1,2,NA,NA
"206",10129979,2011964,2,6,28,2,1,2301.77075195312,1,2,2,2001.53967285156,300.231079101562
"207",10131396,1010972,1,6,24,4,1,1000.76983642578,1,1,2,NA,NA
